KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001104001,T001104002,T001104003,T001104004,T001104005,T001104006,T001104007,T001104008,T001104009,T001104010,T001104011,T001104012,T001104013
,,,,,,,総数,Ａ管理的職業従事者,Ｂ専門的・技術的職業従事者,Ｃ事務従事者,Ｄ販売従事者,Ｅサービス職業従事者,Ｆ保安職業従事者,Ｇ農林漁業従事者,Ｈ生産工程従事者,Ｉ輸送・機械運転従事者,Ｊ建設・採掘従事者,Ｋ運搬・清掃・包装等従事者,Ｌ分類不能の職業
14101062003,4,横浜市鶴見区,尻手三丁目,0,,,1447,28,336,430,213,124,15,-,114,42,29,74,42
141010650,2,横浜市鶴見区,菅沢町,0,,,753,15,140,167,102,82,5,1,90,32,46,60,13
141010660,3,横浜市鶴見区,栄町通,0,,,2023,34,370,440,256,206,12,-,213,92,153,161,86
14101066001,4,横浜市鶴見区,栄町通一丁目,0,,,508,8,73,91,59,43,3,-,63,26,59,55,28
14101066002,4,横浜市鶴見区,栄町通二丁目,0,,,437,10,69,97,45,56,-,-,47,22,45,40,6
14101066003,4,横浜市鶴見区,栄町通三丁目,0,,,559,7,123,145,80,51,6,-,47,24,22,32,22
14101066004,4,横浜市鶴見区,栄町通四丁目,0,,,519,9,105,107,72,56,3,-,56,20,27,34,30
141010700,3,横浜市鶴見区,平安町,0,,,4174,72,836,1018,571,467,44,5,416,133,186,295,131
14101070001,4,横浜市鶴見区,平安町一丁目,0,,,2081,34,460,523,286,220,20,1,193,57,79,142,66
14101070002,4,横浜市鶴見区,平安町二丁目,0,,,2093,38,376,495,285,247,24,4,223,76,107,153,65
141010720,3,横浜市鶴見区,向井町,0,,,1873,28,346,408,219,190,18,1,228,59,129,179,68
14101072001,4,横浜市鶴見区,向井町一丁目,0,,,419,11,108,106,49,42,3,-,42,12,14,22,10
14101072002,4,横浜市鶴見区,向井町二丁目,0,,,263,5,51,53,36,26,3,-,17,14,22,30,6
14101072003,4,横浜市鶴見区,向井町三丁目,0,,,695,7,114,151,79,67,9,1,84,20,54,73,36
14101072004,4,横浜市鶴見区,向井町四丁目,0,,,496,5,73,98,55,55,3,-,85,13,39,54,16
141010760,2,横浜市鶴見区,大東町,0,,,883,11,103,166,110,107,3,-,133,45,76,89,40
141010770,3,横浜市鶴見区,潮田町,0,,,2216,29,380,421,243,264,17,4,272,72,204,201,109
14101077001,4,横浜市鶴見区,潮田町一丁目,0,,,787,12,174,178,74,97,9,-,79,26,53,56,29
14101077002,4,横浜市鶴見区,潮田町二丁目,0,,,491,5,81,86,52,56,3,1,75,12,40,50,30
14101077003,4,横浜市鶴見区,潮田町三丁目,0,,,597,8,85,106,77,67,2,1,80,23,55,56,37
